year,state,quarter,suppression,totalRX
2015,AK,1,F,17155
2015,AK,1,T,0
2015,AK,2,F,18459
2015,AK,2,T,0
2015,AK,3,F,18830
2015,AK,3,T,0
2015,AK,4,F,18431
2015,AK,4,T,0
2015,AZ,1,F,254794
2015,AZ,1,T,0
2015,AZ,2,F,319555
2015,AZ,2,T,0
2015,AZ,3,F,311238
2015,AZ,3,T,0
2015,AZ,4,F,299247
2015,AZ,4,T,0
2015,CO,1,F,225404
2015,CO,1,T,0
2015,CO,2,F,210885
2015,CO,2,T,0
2015,CO,3,F,206008
2015,CO,3,T,0
2015,CO,4,F,219387
2015,CO,4,T,0
2015,CT,1,F,134150
2015,CT,1,T,0
2015,CT,2,F,138238
2015,CT,2,T,0
2015,CT,3,F,144510
2015,CT,3,T,0
2015,CT,4,F,135113
2015,CT,4,T,0
2015,DE,1,F,42307
2015,DE,1,T,0
2015,DE,2,F,46187
2015,DE,2,T,0
2015,DE,3,F,47647
2015,DE,3,T,0
2015,DE,4,F,40134
2015,DE,4,T,0
2015,FL,1,F,335412
2015,FL,1,T,0
2015,FL,2,F,339478
2015,FL,2,T,0
2015,FL,3,F,376695
2015,FL,3,T,0
2015,FL,4,F,356322
2015,FL,4,T,0
2015,HI,1,F,40159
2015,HI,1,T,0
2015,HI,2,F,40545
2015,HI,2,T,0
2015,HI,3,F,43267
2015,HI,3,T,0
2015,HI,4,F,43969
2015,HI,4,T,0
2015,IL,1,F,224817
2015,IL,1,T,0
2015,IL,2,F,222729
2015,IL,2,T,0
2015,IL,3,F,352473
2015,IL,3,T,0
2015,IL,4,F,438078
2015,IL,4,T,0
2015,IN,1,F,178420
2015,IN,1,T,0
2015,IN,2,F,216864
2015,IN,2,T,0
2015,IN,3,F,241158
2015,IN,3,T,0
2015,IN,4,F,266556
2015,IN,4,T,0
2015,KY,1,F,153336
2015,KY,1,T,0
2015,KY,2,F,134112
2015,KY,2,T,0
2015,KY,3,F,103757
2015,KY,3,T,0
2015,KY,4,F,98533
2015,KY,4,T,0
2015,LA,1,F,167006
2015,LA,1,T,0
2015,LA,2,F,157945
2015,LA,2,T,0
2015,LA,3,F,152559
2015,LA,3,T,0
2015,LA,4,F,144692
2015,LA,4,T,0
2015,MI,1,F,456803
2015,MI,1,T,0
2015,MI,2,F,517889
2015,MI,2,T,0
2015,MI,3,F,436925
2015,MI,3,T,0
2015,MI,4,F,457766
2015,MI,4,T,0
2015,MO,1,F,174114
2015,MO,1,T,0
2015,MO,2,F,153474
2015,MO,2,T,0
2015,MO,3,F,183208
2015,MO,3,T,0
2015,MO,4,F,171626
2015,MO,4,T,0
2015,MS,1,F,85511
2015,MS,1,T,0
2015,MS,2,F,88948
2015,MS,2,T,0
2015,MS,3,F,94329
2015,MS,3,T,0
2015,MS,4,F,87644
2015,MS,4,T,0
2015,NC,1,F,297762
2015,NC,1,T,0
2015,NC,2,F,279187
2015,NC,2,T,0
2015,NC,3,F,323304
2015,NC,3,T,0
2015,NC,4,F,293360
2015,NC,4,T,0
2015,NH,1,F,30962
2015,NH,1,T,0
2015,NH,2,F,28680
2015,NH,2,T,0
2015,NH,3,F,30029
2015,NH,3,T,0
2015,NH,4,F,29856
2015,NH,4,T,0
2015,NJ,1,F,238619
2015,NJ,1,T,0
2015,NJ,2,F,175100
2015,NJ,2,T,0
2015,NJ,3,F,239064
2015,NJ,3,T,0
2015,NJ,4,F,197265
2015,NJ,4,T,0
2015,NV,1,F,123006
2015,NV,1,T,0
2015,NV,2,F,143442
2015,NV,2,T,0
2015,NV,3,F,139777
2015,NV,3,T,0
2015,NV,4,F,142480
2015,NV,4,T,0
2015,NY,1,F,448448
2015,NY,1,T,0
2015,NY,2,F,492866
2015,NY,2,T,0
2015,NY,3,F,462493
2015,NY,3,T,0
2015,NY,4,F,456174
2015,NY,4,T,0
2015,OH,1,F,548824
2015,OH,1,T,0
2015,OH,2,F,624266
2015,OH,2,T,0
2015,OH,3,F,637477
2015,OH,3,T,0
2015,OH,4,F,590709
2015,OH,4,T,0
2015,OK,1,F,100092
2015,OK,1,T,0
2015,OK,2,F,109374
2015,OK,2,T,0
2015,OK,3,F,117113
2015,OK,3,T,0
2015,OK,4,F,107432
2015,OK,4,T,0
2015,PA,1,F,297868
2015,PA,1,T,0
2015,PA,2,F,418054
2015,PA,2,T,0
2015,PA,3,F,455538
2015,PA,3,T,0
2015,PA,4,F,527169
2015,PA,4,T,0
2015,SC,1,F,106582
2015,SC,1,T,0
2015,SC,2,F,103243
2015,SC,2,T,0
2015,SC,3,F,105108
2015,SC,3,T,0
2015,SC,4,F,84284
2015,SC,4,T,0
2015,TN,1,F,237955
2015,TN,1,T,0
2015,TN,2,F,251391
2015,TN,2,T,0
2015,TN,3,F,238020
2015,TN,3,T,0
2015,TN,4,F,251497
2015,TN,4,T,0
2015,UT,1,F,59356
2015,UT,1,T,0
2015,UT,2,F,59308
2015,UT,2,T,0
2015,UT,3,F,59436
2015,UT,3,T,0
2015,UT,4,F,55261
2015,UT,4,T,0
2015,VA,1,F,144914
2015,VA,1,T,0
2015,VA,2,F,147618
2015,VA,2,T,0
2015,VA,3,F,160178
2015,VA,3,T,0
2015,VA,4,F,151321
2015,VA,4,T,0
2015,WA,1,F,271619
2015,WA,1,T,0
2015,WA,2,F,279674
2015,WA,2,T,0
2015,WA,3,F,253130
2015,WA,3,T,0
2015,WA,4,F,292783
2015,WA,4,T,0
2015,WV,1,F,134941
2015,WV,1,T,0
2015,WV,2,F,141201
2015,WV,2,T,0
2015,WV,3,F,123050
2015,WV,3,T,0
2015,WV,4,F,132861
2015,WV,4,T,0
2015,WY,1,F,10178
2015,WY,1,T,0
2015,WY,2,F,10314
2015,WY,2,T,0
2015,WY,3,F,10308
2015,WY,3,T,0
2015,WY,4,F,9663
2015,WY,4,T,0
2016,AK,1,F,24682
2016,AK,1,T,0
2016,AK,2,F,21681
2016,AK,2,T,0
2016,AK,3,F,27433
2016,AK,3,T,0
2016,AK,4,F,23895
2016,AK,4,T,0
2016,AZ,1,F,417455
2016,AZ,1,T,0
2016,AZ,2,F,283286
2016,AZ,2,T,0
2016,AZ,3,F,280625
2016,AZ,3,T,0
2016,AZ,4,F,264135
2016,AZ,4,T,0
2016,CO,1,F,219992
2016,CO,1,T,0
2016,CO,2,F,213521
2016,CO,2,T,0
2016,CO,3,F,208601
2016,CO,3,T,0
2016,CO,4,F,197179
2016,CO,4,T,0
2016,CT,1,F,129844
2016,CT,1,T,0
2016,CT,2,F,125296
2016,CT,2,T,0
2016,CT,3,F,117091
2016,CT,3,T,0
2016,CT,4,F,100962
2016,CT,4,T,0
2016,DE,1,F,45892
2016,DE,1,T,0
2016,DE,2,F,46096
2016,DE,2,T,0
2016,DE,3,F,47524
2016,DE,3,T,0
2016,DE,4,F,37584
2016,DE,4,T,0
2016,FL,1,F,317597
2016,FL,1,T,0
2016,FL,2,F,339762
2016,FL,2,T,0
2016,FL,3,F,315339
2016,FL,3,T,0
2016,FL,4,F,333968
2016,FL,4,T,0
2016,HI,1,F,35171
2016,HI,1,T,0
2016,HI,2,F,33601
2016,HI,2,T,0
2016,HI,3,F,31945
2016,HI,3,T,0
2016,HI,4,F,39078
2016,HI,4,T,0
2016,IL,1,F,366182
2016,IL,1,T,0
2016,IL,2,F,335767
2016,IL,2,T,0
2016,IL,3,F,291677
2016,IL,3,T,0
2016,IL,4,F,374734
2016,IL,4,T,0
2016,IN,1,F,251357
2016,IN,1,T,0
2016,IN,2,F,332995
2016,IN,2,T,0
2016,IN,3,F,263595
2016,IN,3,T,0
2016,IN,4,F,237106
2016,IN,4,T,0
2016,KY,1,F,192779
2016,KY,1,T,0
2016,KY,2,F,167193
2016,KY,2,T,0
2016,KY,3,F,179660
2016,KY,3,T,0
2016,KY,4,F,199429
2016,KY,4,T,0
2016,LA,1,F,145128
2016,LA,1,T,0
2016,LA,2,F,141834
2016,LA,2,T,0
2016,LA,3,F,204704
2016,LA,3,T,0
2016,LA,4,F,227984
2016,LA,4,T,0
2016,MI,1,F,575671
2016,MI,1,T,0
2016,MI,2,F,472441
2016,MI,2,T,0
2016,MI,3,F,457333
2016,MI,3,T,0
2016,MI,4,F,433941
2016,MI,4,T,0
2016,MO,1,F,167666
2016,MO,1,T,0
2016,MO,2,F,152903
2016,MO,2,T,0
2016,MO,3,F,174787
2016,MO,3,T,0
2016,MO,4,F,157762
2016,MO,4,T,0
2016,MS,1,F,84178
2016,MS,1,T,0
2016,MS,2,F,83873
2016,MS,2,T,0
2016,MS,3,F,81627
2016,MS,3,T,0
2016,MS,4,F,83462
2016,MS,4,T,0
2016,NC,1,F,294022
2016,NC,1,T,0
2016,NC,2,F,258302
2016,NC,2,T,0
2016,NC,3,F,298108
2016,NC,3,T,0
2016,NC,4,F,239501
2016,NC,4,T,0
2016,NH,1,F,20012
2016,NH,1,T,0
2016,NH,2,F,17868
2016,NH,2,T,0
2016,NH,3,F,16785
2016,NH,3,T,0
2016,NH,4,F,15472
2016,NH,4,T,0
2016,NJ,1,F,228727
2016,NJ,1,T,0
2016,NJ,2,F,246537
2016,NJ,2,T,0
2016,NJ,3,F,156017
2016,NJ,3,T,0
2016,NJ,4,F,324838
2016,NJ,4,T,0
2016,NV,1,F,144945
2016,NV,1,T,0
2016,NV,2,F,163536
2016,NV,2,T,0
2016,NV,3,F,146694
2016,NV,3,T,0
2016,NV,4,F,136180
2016,NV,4,T,0
2016,NY,1,F,481585
2016,NY,1,T,0
2016,NY,2,F,448564
2016,NY,2,T,0
2016,NY,3,F,427762
2016,NY,3,T,0
2016,NY,4,F,400668
2016,NY,4,T,0
2016,OH,1,F,662162
2016,OH,1,T,0
2016,OH,2,F,551722
2016,OH,2,T,0
2016,OH,3,F,574213
2016,OH,3,T,0
2016,OH,4,F,528718
2016,OH,4,T,0
2016,OK,1,F,103207
2016,OK,1,T,0
2016,OK,2,F,96465
2016,OK,2,T,0
2016,OK,3,F,105554
2016,OK,3,T,0
2016,OK,4,F,96996
2016,OK,4,T,0
2016,PA,1,F,463670
2016,PA,1,T,0
2016,PA,2,F,434349
2016,PA,2,T,0
2016,PA,3,F,419908
2016,PA,3,T,0
2016,PA,4,F,410542
2016,PA,4,T,0
2016,SC,1,F,79290
2016,SC,1,T,0
2016,SC,2,F,79994
2016,SC,2,T,0
2016,SC,3,F,86251
2016,SC,3,T,0
2016,SC,4,F,87216
2016,SC,4,T,0
2016,TN,1,F,238235
2016,TN,1,T,0
2016,TN,2,F,236744
2016,TN,2,T,0
2016,TN,3,F,244873
2016,TN,3,T,0
2016,TN,4,F,218157
2016,TN,4,T,0
2016,UT,1,F,54217
2016,UT,1,T,0
2016,UT,2,F,54158
2016,UT,2,T,0
2016,UT,3,F,47682
2016,UT,3,T,0
2016,UT,4,F,48748
2016,UT,4,T,0
2016,VA,1,F,150862
2016,VA,1,T,0
2016,VA,2,F,154733
2016,VA,2,T,0
2016,VA,3,F,150097
2016,VA,3,T,0
2016,VA,4,F,127615
2016,VA,4,T,0
2016,WA,1,F,270924
2016,WA,1,T,0
2016,WA,2,F,264998
2016,WA,2,T,0
2016,WA,3,F,266642
2016,WA,3,T,0
2016,WA,4,F,239808
2016,WA,4,T,0
2016,WV,1,F,119099
2016,WV,1,T,0
2016,WV,2,F,122892
2016,WV,2,T,0
2016,WV,3,F,118587
2016,WV,3,T,0
2016,WV,4,F,102888
2016,WV,4,T,0
2016,WY,1,F,9748
2016,WY,1,T,0
2016,WY,2,F,9745
2016,WY,2,T,0
2016,WY,3,F,9305
2016,WY,3,T,0
2016,WY,4,F,8517
2016,WY,4,T,0
2017,AK,1,F,31508
2017,AK,1,T,0
2017,AK,2,F,26196
2017,AK,2,T,0
2017,AK,3,F,25490
2017,AK,3,T,0
2017,AK,4,F,21408
2017,AK,4,T,0
2017,AZ,1,F,252855
2017,AZ,1,T,0
2017,AZ,2,F,245087
2017,AZ,2,T,0
2017,AZ,3,F,231571
2017,AZ,3,T,0
2017,AZ,4,F,209256
2017,AZ,4,T,0
2017,CO,1,F,177800
2017,CO,1,T,0
2017,CO,2,F,169843
2017,CO,2,T,0
2017,CO,3,F,163321
2017,CO,3,T,0
2017,CO,4,F,147029
2017,CO,4,T,0
2017,CT,1,F,95930
2017,CT,1,T,0
2017,CT,2,F,93784
2017,CT,2,T,0
2017,CT,3,F,89250
2017,CT,3,T,0
2017,CT,4,F,85362
2017,CT,4,T,0
2017,DE,1,F,32096
2017,DE,1,T,0
2017,DE,2,F,32649
2017,DE,2,T,0
2017,DE,3,F,30533
2017,DE,3,T,0
2017,DE,4,F,27837
2017,DE,4,T,0
2017,FL,1,F,280764
2017,FL,1,T,0
2017,FL,2,F,352294
2017,FL,2,T,0
2017,FL,3,F,286046
2017,FL,3,T,0
2017,FL,4,F,269955
2017,FL,4,T,0
2017,HI,1,F,41817
2017,HI,1,T,0
2017,HI,2,F,38222
2017,HI,2,T,0
2017,HI,3,F,31280
2017,HI,3,T,0
2017,HI,4,F,26516
2017,HI,4,T,0
2017,IL,1,F,418689
2017,IL,1,T,0
2017,IL,2,F,296540
2017,IL,2,T,0
2017,IL,3,F,275963
2017,IL,3,T,0
2017,IL,4,F,251115
2017,IL,4,T,0
2017,IN,1,F,226591
2017,IN,1,T,0
2017,IN,2,F,225753
2017,IN,2,T,0
2017,IN,3,F,208383
2017,IN,3,T,0
2017,IN,4,F,188968
2017,IN,4,T,0
2017,KY,1,F,239006
2017,KY,1,T,0
2017,KY,2,F,210420
2017,KY,2,T,0
2017,KY,3,F,225324
2017,KY,3,T,0
2017,KY,4,F,211069
2017,KY,4,T,0
2017,LA,1,F,234157
2017,LA,1,T,0
2017,LA,2,F,254617
2017,LA,2,T,0
2017,LA,3,F,210962
2017,LA,3,T,0
2017,LA,4,F,196826
2017,LA,4,T,0
2017,MI,1,F,426913
2017,MI,1,T,0
2017,MI,2,F,424072
2017,MI,2,T,0
2017,MI,3,F,402645
2017,MI,3,T,0
2017,MI,4,F,367845
2017,MI,4,T,0
2017,MO,1,F,149168
2017,MO,1,T,0
2017,MO,2,F,138445
2017,MO,2,T,0
2017,MO,3,F,141563
2017,MO,3,T,0
2017,MO,4,F,130194
2017,MO,4,T,0
2017,MS,1,F,75562
2017,MS,1,T,0
2017,MS,2,F,74154
2017,MS,2,T,0
2017,MS,3,F,68813
2017,MS,3,T,0
2017,MS,4,F,63058
2017,MS,4,T,0
2017,NC,1,F,302151
2017,NC,1,T,0
2017,NC,2,F,214183
2017,NC,2,T,0
2017,NC,3,F,227263
2017,NC,3,T,0
2017,NC,4,F,185059
2017,NC,4,T,0
2017,NH,1,F,12935
2017,NH,1,T,0
2017,NH,2,F,12889
2017,NH,2,T,0
2017,NH,3,F,12352
2017,NH,3,T,0
2017,NH,4,F,11553
2017,NH,4,T,0
2017,NJ,1,F,186001
2017,NJ,1,T,0
2017,NJ,2,F,177830
2017,NJ,2,T,0
