year,gennme,state,quarter,suppression,totalRX
2015,APAP/Butalbital/Caff/Codeine Phos,AK,1,F,30
2015,APAP/Butalbital/Caff/Codeine Phos,AK,1,T,0
2015,Acetaminophen/Codeine Phosphate,AK,1,F,13
2015,Acetaminophen/Hydrocodone Bitartrate,AK,1,F,7088
2015,Acetaminophen/Hydrocodone Bitartrate,AK,1,T,0
2015,Acetaminophen/Oxycodone Hydrochloride,AK,1,F,3306
2015,Acetaminophen/Oxycodone Hydrochloride,AK,1,T,0
2015,Acetaminophen/Tramadol Hydrochloride,AK,1,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,1,F,12
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,1,T,0
2015,Aspirin/Oxycodone Hydrochloride,AK,1,T,0
2015,Codeine Sulfate,AK,1,T,0
2015,Fentanyl,AK,1,F,342
2015,Fentanyl,AK,1,T,0
2015,Fentanyl Citrate,AK,1,F,633
2015,Fentanyl Citrate,AK,1,T,0
2015,Hydrocodone Bitartrate/Ibuprofen,AK,1,F,75
2015,Hydrocodone Bitartrate/Ibuprofen,AK,1,T,0
2015,Hydromorphone Hydrochloride,AK,1,F,771
2015,Hydromorphone Hydrochloride,AK,1,T,0
2015,Ibuprofen/Oxycodone Hydrochloride,AK,1,T,0
2015,Meperidine Hydrochloride,AK,1,F,82
2015,Meperidine Hydrochloride,AK,1,T,0
2015,Methadone Hydrochloride,AK,1,F,205
2015,Methadone Hydrochloride,AK,1,T,0
2015,Morphine Sulfate,AK,1,F,1427
2015,Morphine Sulfate,AK,1,T,0
2015,Oxycodone Hydrochloride,AK,1,F,1219
2015,Oxycodone Hydrochloride,AK,1,T,0
2015,Oxymorphone Hydrochloride,AK,1,T,0
2015,Tramadol Hydrochloride,AK,1,F,1952
2015,Tramadol Hydrochloride,AK,1,T,0
2015,APAP/Butalbital/Caff/Codeine Phos,AK,2,F,18
2015,APAP/Butalbital/Caff/Codeine Phos,AK,2,T,0
2015,Acetaminophen/Codeine Phosphate,AK,2,F,35
2015,Acetaminophen/Hydrocodone Bitartrate,AK,2,F,7709
2015,Acetaminophen/Hydrocodone Bitartrate,AK,2,T,0
2015,Acetaminophen/Oxycodone Hydrochloride,AK,2,F,3630
2015,Acetaminophen/Oxycodone Hydrochloride,AK,2,T,0
2015,Acetaminophen/Tramadol Hydrochloride,AK,2,F,13
2015,Acetaminophen/Tramadol Hydrochloride,AK,2,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,2,F,13
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,2,T,0
2015,Aspirin/Oxycodone Hydrochloride,AK,2,T,0
2015,Codeine Sulfate,AK,2,T,0
2015,Fentanyl,AK,2,F,390
2015,Fentanyl,AK,2,T,0
2015,Fentanyl Citrate,AK,2,F,587
2015,Fentanyl Citrate,AK,2,T,0
2015,Hydrocodone Bitartrate/Ibuprofen,AK,2,F,68
2015,Hydrocodone Bitartrate/Ibuprofen,AK,2,T,0
2015,Hydromorphone Hydrochloride,AK,2,F,687
2015,Hydromorphone Hydrochloride,AK,2,T,0
2015,Ibuprofen/Oxycodone Hydrochloride,AK,2,T,0
2015,Meperidine Hydrochloride,AK,2,F,55
2015,Meperidine Hydrochloride,AK,2,T,0
2015,Methadone Hydrochloride,AK,2,F,273
2015,Methadone Hydrochloride,AK,2,T,0
2015,Morphine Sulfate,AK,2,F,1485
2015,Morphine Sulfate,AK,2,T,0
2015,Oxycodone Hydrochloride,AK,2,F,1432
2015,Oxycodone Hydrochloride,AK,2,T,0
2015,Oxymorphone Hydrochloride,AK,2,T,0
2015,Tramadol Hydrochloride,AK,2,F,2064
2015,Tramadol Hydrochloride,AK,2,T,0
2015,APAP/Butalbital/Caff/Codeine Phos,AK,3,F,18
2015,APAP/Butalbital/Caff/Codeine Phos,AK,3,T,0
2015,Acetaminophen/Codeine Phosphate,AK,3,F,111
2015,Acetaminophen/Hydrocodone Bitartrate,AK,3,F,7832
2015,Acetaminophen/Hydrocodone Bitartrate,AK,3,T,0
2015,Acetaminophen/Oxycodone Hydrochloride,AK,3,F,3727
2015,Acetaminophen/Oxycodone Hydrochloride,AK,3,T,0
2015,Acetaminophen/Tramadol Hydrochloride,AK,3,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,3,T,0
2015,Aspirin/Oxycodone Hydrochloride,AK,3,T,0
2015,Codeine Sulfate,AK,3,T,0
2015,Fentanyl,AK,3,F,357
2015,Fentanyl,AK,3,T,0
2015,Fentanyl Citrate,AK,3,F,655
2015,Fentanyl Citrate,AK,3,T,0
