year,gennme,prodnme,state,quarter,suppression,totalRX
2015,APAP/Butalbital/Caff/Codeine Phos,BUTALBITAL-APAP-CAFFEINE-CODEINE,AK,1,F,30
2015,APAP/Butalbital/Caff/Codeine Phos,BUTALBITAL-APAP-CAFFEINE-CODEINE,AK,1,T,0
2015,Acetaminophen/Codeine Phosphate,ACETAMINOPHEN-CODEINE PHOSPHATE,AK,1,F,13
2015,Acetaminophen/Hydrocodone Bitartrate,HYDROCODONE BITARTRATE-ACETAMINOPHEN,AK,1,F,7088
2015,Acetaminophen/Hydrocodone Bitartrate,HYDROCODONE BITARTRATE-ACETAMINOPHEN,AK,1,T,0
2015,Acetaminophen/Oxycodone Hydrochloride,ENDOCET,AK,1,F,482
2015,Acetaminophen/Oxycodone Hydrochloride,OXYCODONE HCL-ACETAMINOPHEN,AK,1,F,2824
2015,Acetaminophen/Oxycodone Hydrochloride,OXYCODONE HCL-ACETAMINOPHEN,AK,1,T,0
2015,Acetaminophen/Tramadol Hydrochloride,TRAMADOL HCL/ACETAMINOPHEN,AK,1,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,ASCOMP W/CODEINE,AK,1,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,1,F,12
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,1,T,0
2015,Aspirin/Oxycodone Hydrochloride,OXYCODONE HCL-ASPIRIN,AK,1,T,0
2015,Codeine Sulfate,CODEINE SULFATE,AK,1,T,0
2015,Fentanyl,FENTANYL,AK,1,F,22
2015,Fentanyl,FENTANYL,AK,1,T,0
2015,Fentanyl,FENTANYL TRANSDERMAL SYSTEM,AK,1,F,320
2015,Fentanyl,FENTANYL TRANSDERMAL SYSTEM,AK,1,T,0
2015,Fentanyl,FENTANYL TRANSDERMAL SYSTEM NOVAPLUS,AK,1,T,0
2015,Fentanyl,SUBSYS,AK,1,T,0
2015,Fentanyl Citrate,FENTANYL CITRATE,AK,1,F,633
2015,Fentanyl Citrate,FENTANYL CITRATE,AK,1,T,0
2015,Hydrocodone Bitartrate/Ibuprofen,HYDROCODONE BITARTRATE-IBUPROFEN,AK,1,F,75
2015,Hydrocodone Bitartrate/Ibuprofen,HYDROCODONE BITARTRATE-IBUPROFEN,AK,1,T,0
2015,Hydromorphone Hydrochloride,DILAUDID,AK,1,T,0
2015,Hydromorphone Hydrochloride,EXALGO,AK,1,T,0
2015,Hydromorphone Hydrochloride,HYDROMORPHONE HCL,AK,1,F,771
2015,Hydromorphone Hydrochloride,HYDROMORPHONE HCL,AK,1,T,0
2015,Ibuprofen/Oxycodone Hydrochloride,OXYCODONE HCL-IBUPROFEN,AK,1,T,0
2015,Meperidine Hydrochloride,DEMEROL,AK,1,T,0
2015,Meperidine Hydrochloride,DEMEROL HYDROCHLORIDE,AK,1,F,39
2015,Meperidine Hydrochloride,DEMEROL HYDROCHLORIDE,AK,1,T,0
2015,Meperidine Hydrochloride,MEPERIDINE HCL,AK,1,F,43
2015,Meperidine Hydrochloride,MEPERIDINE HCL,AK,1,T,0
2015,Methadone Hydrochloride,METHADONE HCL,AK,1,F,205
2015,Methadone Hydrochloride,METHADONE HCL,AK,1,T,0
2015,Morphine Sulfate,AVINZA,AK,1,T,0
2015,Morphine Sulfate,MORPHINE SULFATE,AK,1,F,1427
2015,Morphine Sulfate,MORPHINE SULFATE,AK,1,T,0
2015,Oxycodone Hydrochloride,OXYCODONE HCL,AK,1,F,798
2015,Oxycodone Hydrochloride,OXYCODONE HCL,AK,1,T,0
2015,Oxycodone Hydrochloride,OXYCONTIN,AK,1,F,421
2015,Oxycodone Hydrochloride,OXYCONTIN,AK,1,T,0
2015,Oxymorphone Hydrochloride,OPANA ER,AK,1,T,0
2015,Oxymorphone Hydrochloride,OXYMORPHONE HCL,AK,1,T,0
2015,Tramadol Hydrochloride,CONZIP,AK,1,T,0
2015,Tramadol Hydrochloride,TRAMADOL HCL,AK,1,F,1952
2015,Tramadol Hydrochloride,TRAMADOL HCL,AK,1,T,0
2015,Tramadol Hydrochloride,ULTRAM,AK,1,T,0
2015,APAP/Butalbital/Caff/Codeine Phos,BUTALBITAL-APAP-CAFFEINE-CODEINE,AK,2,F,18
2015,APAP/Butalbital/Caff/Codeine Phos,BUTALBITAL-APAP-CAFFEINE-CODEINE,AK,2,T,0
2015,Acetaminophen/Codeine Phosphate,ACETAMINOPHEN-CODEINE PHOSPHATE,AK,2,F,35
2015,Acetaminophen/Hydrocodone Bitartrate,HYDROCODONE BITARTRATE-ACETAMINOPHEN,AK,2,F,7709
2015,Acetaminophen/Hydrocodone Bitartrate,HYDROCODONE BITARTRATE-ACETAMINOPHEN,AK,2,T,0
2015,Acetaminophen/Oxycodone Hydrochloride,ENDOCET,AK,2,F,530
2015,Acetaminophen/Oxycodone Hydrochloride,OXYCODONE HCL-ACETAMINOPHEN,AK,2,F,3100
2015,Acetaminophen/Oxycodone Hydrochloride,OXYCODONE HCL-ACETAMINOPHEN,AK,2,T,0
2015,Acetaminophen/Oxycodone Hydrochloride,PERCOCET,AK,2,T,0
2015,Acetaminophen/Tramadol Hydrochloride,TRAMADOL HCL/ACETAMINOPHEN,AK,2,F,13
2015,Acetaminophen/Tramadol Hydrochloride,TRAMADOL HCL/ACETAMINOPHEN,AK,2,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,ASCOMP W/CODEINE,AK,2,T,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,2,F,13
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,2,T,0
2015,Aspirin/Oxycodone Hydrochloride,OXYCODONE HCL-ASPIRIN,AK,2,T,0
2015,Codeine Sulfate,CODEINE SULFATE,AK,2,T,0
2015,Fentanyl,FENTANYL,AK,2,F,45
2015,Fentanyl,FENTANYL,AK,2,T,0
2015,Fentanyl,FENTANYL TRANSDERMAL SYSTEM,AK,2,F,345
2015,Fentanyl,FENTANYL TRANSDERMAL SYSTEM,AK,2,T,0
2015,Fentanyl,FENTANYL TRANSDERMAL SYSTEM NOVAPLUS,AK,2,T,0
2015,Fentanyl,SUBSYS,AK,2,T,0
2015,Fentanyl Citrate,FENTANYL CITRATE,AK,2,F,587
2015,Fentanyl Citrate,FENTANYL CITRATE,AK,2,T,0
2015,Hydrocodone Bitartrate/Ibuprofen,HYDROCODONE BITARTRATE-IBUPROFEN,AK,2,F,68
2015,Hydrocodone Bitartrate/Ibuprofen,HYDROCODONE BITARTRATE-IBUPROFEN,AK,2,T,0
2015,Hydromorphone Hydrochloride,DILAUDID,AK,2,T,0
2015,Hydromorphone Hydrochloride,EXALGO,AK,2,T,0
2015,Hydromorphone Hydrochloride,HYDROMORPHONE HCL,AK,2,F,687
2015,Hydromorphone Hydrochloride,HYDROMORPHONE HCL,AK,2,T,0
2015,Ibuprofen/Oxycodone Hydrochloride,OXYCODONE HCL-IBUPROFEN,AK,2,T,0
2015,Meperidine Hydrochloride,DEMEROL HYDROCHLORIDE,AK,2,F,26
2015,Meperidine Hydrochloride,DEMEROL HYDROCHLORIDE,AK,2,T,0
2015,Meperidine Hydrochloride,MEPERIDINE HCL,AK,2,F,29
2015,Meperidine Hydrochloride,MEPERIDINE HCL,AK,2,T,0
2015,Methadone Hydrochloride,METHADONE HCL,AK,2,F,273
2015,Methadone Hydrochloride,METHADONE HCL,AK,2,T,0
2015,Morphine Sulfate,AVINZA,AK,2,T,0
2015,Morphine Sulfate,DURAMORPH,AK,2,T,0
2015,Morphine Sulfate,MORPHINE SULFATE,AK,2,F,1485
2015,Morphine Sulfate,MORPHINE SULFATE,AK,2,T,0
2015,Oxycodone Hydrochloride,OXYCODONE HCL,AK,2,F,1038
2015,Oxycodone Hydrochloride,OXYCODONE HCL,AK,2,T,0
2015,Oxycodone Hydrochloride,OXYCONTIN,AK,2,F,394
2015,Oxycodone Hydrochloride,OXYCONTIN,AK,2,T,0
2015,Oxymorphone Hydrochloride,OPANA ER,AK,2,T,0
2015,Oxymorphone Hydrochloride,OXYMORPHONE HCL,AK,2,T,0
2015,Tramadol Hydrochloride,TRAMADOL HCL,AK,2,F,2064
2015,Tramadol Hydrochloride,TRAMADOL HCL,AK,2,T,0
2015,Tramadol Hydrochloride,ULTRAM,AK,2,T,0
2015,APAP/Butalbital/Caff/Codeine Phos,BUTALBITAL-APAP-CAFFEINE-CODEINE,AK,3,F,18
2015,APAP/Butalbital/Caff/Codeine Phos,BUTALBITAL-APAP-CAFFEINE-CODEINE,AK,3,T,0
2015,Acetaminophen/Codeine Phosphate,ACETAMINOPHEN-CODEINE PHOSPHATE,AK,3,F,111
2015,Acetaminophen/Hydrocodone Bitartrate,HYDROCODONE BITARTRATE-ACETAMINOPHEN,AK,3,F,7832
2015,Acetaminophen/Hydrocodone Bitartrate,HYDROCODONE BITARTRATE-ACETAMINOPHEN,AK,3,T,0
2015,Acetaminophen/Oxycodone Hydrochloride,ENDOCET,AK,3,F,94
2015,Acetaminophen/Oxycodone Hydrochloride,OXYCODONE HCL-ACETAMINOPHEN,AK,3,F,3609
2015,Acetaminophen/Oxycodone Hydrochloride,OXYCODONE HCL-ACETAMINOPHEN,AK,3,T,0
