year,state,quarter,totalRXImputed
2015,AK,1,19005
2015,AK,2,20579
2015,AK,3,20770
2015,AK,4,20471
2015,AZ,1,258074
2015,AZ,2,323285
2015,AZ,3,314418
2015,AZ,4,302407
2015,CO,1,227644
2015,CO,2,213065
2015,CO,3,208148
2015,CO,4,221767
2015,CT,1,136740
2015,CT,2,140638
2015,CT,3,147050
2015,CT,4,137713
2015,DE,1,45987
2015,DE,2,49377
2015,DE,3,51097
2015,DE,4,43354
2015,FL,1,339372
2015,FL,2,343728
2015,FL,3,380985
2015,FL,4,360952
2015,HI,1,41799
2015,HI,2,42155
2015,HI,3,45067
2015,HI,4,45649
2015,IL,1,228757
2015,IL,2,225899
2015,IL,3,355963
2015,IL,4,442348
2015,IN,1,183320
2015,IN,2,221764
2015,IN,3,246288
2015,IN,4,271616
2015,KY,1,157336
2015,KY,2,139542
2015,KY,3,109697
2015,KY,4,104663
2015,LA,1,171036
2015,LA,2,161675
2015,LA,3,156179
2015,LA,4,148512
2015,MI,1,461053
2015,MI,2,522099
2015,MI,3,441195
2015,MI,4,462066
2015,MO,1,176554
2015,MO,2,155864
2015,MO,3,185758
2015,MO,4,174506
2015,MS,1,88911
2015,MS,2,92358
2015,MS,3,97669
2015,MS,4,91174
2015,NC,1,300322
2015,NC,2,281637
2015,NC,3,325914
2015,NC,4,296070
2015,NH,1,35382
2015,NH,2,32920
2015,NH,3,34429
2015,NH,4,34096
2015,NJ,1,243219
2015,NJ,2,179660
2015,NJ,3,243434
2015,NJ,4,201725
2015,NV,1,127516
2015,NV,2,148252
2015,NV,3,144357
2015,NV,4,147260
2015,NY,1,453608
2015,NY,2,498246
2015,NY,3,468003
2015,NY,4,461634
2015,OH,1,553694
2015,OH,2,629146
2015,OH,3,642287
2015,OH,4,595829
2015,OK,1,102002
2015,OK,2,111314
2015,OK,3,119123
2015,OK,4,109272
2015,PA,1,302438
2015,PA,2,422454
2015,PA,3,460048
2015,PA,4,531559
2015,SC,1,110492
2015,SC,2,106903
2015,SC,3,108888
2015,SC,4,88164
2015,TN,1,239765
2015,TN,2,253271
2015,TN,3,239830
2015,TN,4,253507
2015,UT,1,62836
2015,UT,2,63028
2015,UT,3,63066
2015,UT,4,58931
2015,VA,1,149694
2015,VA,2,152688
2015,VA,3,165138
2015,VA,4,156661
2015,WA,1,275959
2015,WA,2,283874
2015,WA,3,257440
2015,WA,4,297393
2015,WV,1,138511
2015,WV,2,144681
2015,WV,3,126670
2015,WV,4,136271
2015,WY,1,11798
2015,WY,2,11914
2015,WY,3,11878
2015,WY,4,11363
2016,AK,1,26882
2016,AK,2,23761
2016,AK,3,29593
2016,AK,4,25835
2016,AZ,1,420785
2016,AZ,2,286636
2016,AZ,3,283905
2016,AZ,4,267525
2016,CO,1,223712
2016,CO,2,217641
2016,CO,3,212691
2016,CO,4,201359
2016,CT,1,132324
2016,CT,2,127856
2016,CT,3,119751
2016,CT,4,103562
2016,DE,1,48962
2016,DE,2,49786
2016,DE,3,50974
2016,DE,4,40784
2016,FL,1,322177
2016,FL,2,344372
2016,FL,3,319929
2016,FL,4,338478
2016,HI,1,37021
2016,HI,2,35491
2016,HI,3,33795
2016,HI,4,40948
2016,IL,1,370382
2016,IL,2,340087
2016,IL,3,296267
2016,IL,4,378884
2016,IN,1,256687
2016,IN,2,338425
2016,IN,3,268725
2016,IN,4,242376
2016,KY,1,198819
2016,KY,2,173063
2016,KY,3,183900
2016,KY,4,205009
2016,LA,1,149098
2016,LA,2,145554
2016,LA,3,208784
2016,LA,4,232014
2016,MI,1,580351
2016,MI,2,477161
2016,MI,3,461623
2016,MI,4,438451
2016,MO,1,170456
2016,MO,2,155653
2016,MO,3,177567
2016,MO,4,160512
2016,MS,1,87858
2016,MS,2,87383
2016,MS,3,85227
2016,MS,4,86872
2016,NC,1,296602
2016,NC,2,261172
2016,NC,3,300678
2016,NC,4,242081
2016,NH,1,24212
2016,NH,2,22218
2016,NH,3,21115
2016,NH,4,19582
2016,NJ,1,233567
2016,NJ,2,251137
2016,NJ,3,160497
2016,NJ,4,329068
2016,NV,1,149615
2016,NV,2,168116
2016,NV,3,151454
2016,NV,4,140840
2016,NY,1,487245
2016,NY,2,454134
2016,NY,3,433592
2016,NY,4,406388
2016,OH,1,667402
2016,OH,2,556902
