year,gennme,state,quarter,totalRXImputed
2015,APAP/Butalbital/Caff/Codeine Phos,AK,1,30
2015,Acetaminophen/Codeine Phosphate,AK,1,13
2015,Acetaminophen/Hydrocodone Bitartrate,AK,1,7088
2015,Acetaminophen/Oxycodone Hydrochloride,AK,1,3306
2015,Acetaminophen/Tramadol Hydrochloride,AK,1,0
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,1,12
2015,Aspirin/Oxycodone Hydrochloride,AK,1,0
2015,Codeine Sulfate,AK,1,0
2015,Fentanyl,AK,1,342
2015,Fentanyl Citrate,AK,1,633
2015,Hydrocodone Bitartrate/Ibuprofen,AK,1,75
2015,Hydromorphone Hydrochloride,AK,1,771
2015,Ibuprofen/Oxycodone Hydrochloride,AK,1,0
2015,Meperidine Hydrochloride,AK,1,82
2015,Methadone Hydrochloride,AK,1,205
2015,Morphine Sulfate,AK,1,1427
2015,Oxycodone Hydrochloride,AK,1,1219
2015,Oxymorphone Hydrochloride,AK,1,0
2015,Tramadol Hydrochloride,AK,1,1952
2015,APAP/Butalbital/Caff/Codeine Phos,AK,2,18
2015,Acetaminophen/Codeine Phosphate,AK,2,35
2015,Acetaminophen/Hydrocodone Bitartrate,AK,2,7709
2015,Acetaminophen/Oxycodone Hydrochloride,AK,2,3630
2015,Acetaminophen/Tramadol Hydrochloride,AK,2,13
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,AK,2,13
2015,Aspirin/Oxycodone Hydrochloride,AK,2,0
2015,Codeine Sulfate,AK,2,0
2015,Fentanyl,AK,2,390
2015,Fentanyl Citrate,AK,2,587
2015,Hydrocodone Bitartrate/Ibuprofen,AK,2,68
2015,Hydromorphone Hydrochloride,AK,2,687
2015,Ibuprofen/Oxycodone Hydrochloride,AK,2,0
2015,Meperidine Hydrochloride,AK,2,55
2015,Methadone Hydrochloride,AK,2,273
2015,Morphine Sulfate,AK,2,1485
2015,Oxycodone Hydrochloride,AK,2,1432
2015,Oxymorphone Hydrochloride,AK,2,0
2015,Tramadol Hydrochloride,AK,2,2064
