year,gennme,prodnme,state,quarter,totalRXImputed
2015,APAP/Butalbital/Caff/Codeine Phos,BUTALBITAL-APAP-CAFFEINE-CODEINE,AK,1,50
2015,Acetaminophen/Codeine Phosphate,ACETAMINOPHEN-CODEINE PHOSPHATE,AK,1,13
2015,Acetaminophen/Hydrocodone Bitartrate,HYDROCODONE BITARTRATE-ACETAMINOPHEN,AK,1,7318
2015,Acetaminophen/Oxycodone Hydrochloride,ENDOCET,AK,1,482
2015,Acetaminophen/Oxycodone Hydrochloride,OXYCODONE HCL-ACETAMINOPHEN,AK,1,2904
2015,Acetaminophen/Tramadol Hydrochloride,TRAMADOL HCL/ACETAMINOPHEN,AK,1,50
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,ASCOMP W/CODEINE,AK,1,10
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,1,22
2015,Aspirin/Oxycodone Hydrochloride,OXYCODONE HCL-ASPIRIN,AK,1,20
2015,Codeine Sulfate,CODEINE SULFATE,AK,1,10
2015,Fentanyl,FENTANYL,AK,1,62
2015,Fentanyl,FENTANYL TRANSDERMAL SYSTEM,AK,1,440
2015,Fentanyl,FENTANYL TRANSDERMAL SYSTEM NOVAPLUS,AK,1,10
2015,Fentanyl,SUBSYS,AK,1,10
2015,Fentanyl Citrate,FENTANYL CITRATE,AK,1,733
2015,Hydrocodone Bitartrate/Ibuprofen,HYDROCODONE BITARTRATE-IBUPROFEN,AK,1,95
2015,Hydromorphone Hydrochloride,DILAUDID,AK,1,10
2015,Hydromorphone Hydrochloride,EXALGO,AK,1,10
2015,Hydromorphone Hydrochloride,HYDROMORPHONE HCL,AK,1,891
2015,Ibuprofen/Oxycodone Hydrochloride,OXYCODONE HCL-IBUPROFEN,AK,1,10
2015,Meperidine Hydrochloride,DEMEROL,AK,1,10
2015,Meperidine Hydrochloride,DEMEROL HYDROCHLORIDE,AK,1,69
2015,Meperidine Hydrochloride,MEPERIDINE HCL,AK,1,113
2015,Methadone Hydrochloride,METHADONE HCL,AK,1,225
2015,Morphine Sulfate,AVINZA,AK,1,10
2015,Morphine Sulfate,MORPHINE SULFATE,AK,1,1727
2015,Oxycodone Hydrochloride,OXYCODONE HCL,AK,1,1038
2015,Oxycodone Hydrochloride,OXYCONTIN,AK,1,431
2015,Oxymorphone Hydrochloride,OPANA ER,AK,1,30
2015,Oxymorphone Hydrochloride,OXYMORPHONE HCL,AK,1,50
2015,Tramadol Hydrochloride,CONZIP,AK,1,10
2015,Tramadol Hydrochloride,TRAMADOL HCL,AK,1,2132
2015,Tramadol Hydrochloride,ULTRAM,AK,1,10
2015,APAP/Butalbital/Caff/Codeine Phos,BUTALBITAL-APAP-CAFFEINE-CODEINE,AK,2,48
2015,Acetaminophen/Codeine Phosphate,ACETAMINOPHEN-CODEINE PHOSPHATE,AK,2,35
2015,Acetaminophen/Hydrocodone Bitartrate,HYDROCODONE BITARTRATE-ACETAMINOPHEN,AK,2,8059
2015,Acetaminophen/Oxycodone Hydrochloride,ENDOCET,AK,2,530
2015,Acetaminophen/Oxycodone Hydrochloride,OXYCODONE HCL-ACETAMINOPHEN,AK,2,3200
2015,Acetaminophen/Oxycodone Hydrochloride,PERCOCET,AK,2,20
2015,Acetaminophen/Tramadol Hydrochloride,TRAMADOL HCL/ACETAMINOPHEN,AK,2,63
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,ASCOMP W/CODEINE,AK,2,10
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,2,33
2015,Aspirin/Oxycodone Hydrochloride,OXYCODONE HCL-ASPIRIN,AK,2,20
2015,Codeine Sulfate,CODEINE SULFATE,AK,2,10
2015,Fentanyl,FENTANYL,AK,2,75
2015,Fentanyl,FENTANYL TRANSDERMAL SYSTEM,AK,2,435
2015,Fentanyl,FENTANYL TRANSDERMAL SYSTEM NOVAPLUS,AK,2,10
2015,Fentanyl,SUBSYS,AK,2,20
2015,Fentanyl Citrate,FENTANYL CITRATE,AK,2,717
2015,Hydrocodone Bitartrate/Ibuprofen,HYDROCODONE BITARTRATE-IBUPROFEN,AK,2,118
2015,Hydromorphone Hydrochloride,DILAUDID,AK,2,20
2015,Hydromorphone Hydrochloride,EXALGO,AK,2,20
2015,Hydromorphone Hydrochloride,HYDROMORPHONE HCL,AK,2,797
2015,Ibuprofen/Oxycodone Hydrochloride,OXYCODONE HCL-IBUPROFEN,AK,2,10
2015,Meperidine Hydrochloride,DEMEROL HYDROCHLORIDE,AK,2,46
2015,Meperidine Hydrochloride,MEPERIDINE HCL,AK,2,139
2015,Methadone Hydrochloride,METHADONE HCL,AK,2,283
2015,Morphine Sulfate,AVINZA,AK,2,10
2015,Morphine Sulfate,DURAMORPH,AK,2,10
2015,Morphine Sulfate,MORPHINE SULFATE,AK,2,1775
2015,Oxycodone Hydrochloride,OXYCODONE HCL,AK,2,1298
2015,Oxycodone Hydrochloride,OXYCONTIN,AK,2,424
2015,Oxymorphone Hydrochloride,OPANA ER,AK,2,40
2015,Oxymorphone Hydrochloride,OXYMORPHONE HCL,AK,2,50
2015,Tramadol Hydrochloride,TRAMADOL HCL,AK,2,2244
2015,Tramadol Hydrochloride,ULTRAM,AK,2,10
2015,APAP/Butalbital/Caff/Codeine Phos,BUTALBITAL-APAP-CAFFEINE-CODEINE,AK,3,48
2015,Acetaminophen/Codeine Phosphate,ACETAMINOPHEN-CODEINE PHOSPHATE,AK,3,111
2015,Acetaminophen/Hydrocodone Bitartrate,HYDROCODONE BITARTRATE-ACETAMINOPHEN,AK,3,8092
2015,Acetaminophen/Oxycodone Hydrochloride,ENDOCET,AK,3,94
2015,Acetaminophen/Oxycodone Hydrochloride,OXYCODONE HCL-ACETAMINOPHEN,AK,3,3719
2015,Acetaminophen/Oxycodone Hydrochloride,PERCOCET,AK,3,24
2015,Acetaminophen/Tramadol Hydrochloride,TRAMADOL HCL/ACETAMINOPHEN,AK,3,50
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,ASCOMP W/CODEINE,AK,3,10
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,BUTALBITAL/ASPIRIN/CAFFEINE/CODEINE,AK,3,20
2015,Aspirin/Oxycodone Hydrochloride,OXYCODONE HCL-ASPIRIN,AK,3,10
2015,Codeine Sulfate,CODEINE SULFATE,AK,3,20
2015,Fentanyl,FENTANYL,AK,3,71
2015,Fentanyl,FENTANYL TRANSDERMAL SYSTEM,AK,3,426
2015,Fentanyl,SUBSYS,AK,3,10
2015,Fentanyl Citrate,FENTANYL CITRATE,AK,3,725
2015,Hydrocodone Bitartrate/Ibuprofen,HYDROCODONE BITARTRATE-IBUPROFEN,AK,3,96
2015,Hydromorphone Hydrochloride,DILAUDID,AK,3,10
2015,Hydromorphone Hydrochloride,HYDROMORPHONE HCL,AK,3,879
2015,Meperidine Hydrochloride,DEMEROL,AK,3,13
2015,Meperidine Hydrochloride,DEMEROL HYDROCHLORIDE,AK,3,58
2015,Meperidine Hydrochloride,MEPERIDINE HCL,AK,3,123
2015,Methadone Hydrochloride,METHADONE HCL,AK,3,285
2015,Methadone Hydrochloride,METHADONE HCL CONCENTRATE,AK,3,10
2015,Morphine Sulfate,AVINZA,AK,3,10
2015,Morphine Sulfate,DURAMORPH,AK,3,10
2015,Morphine Sulfate,MORPHINE SULFATE,AK,3,1950
2015,Oxycodone Hydrochloride,OXYCODONE HCL,AK,3,1338
2015,Oxycodone Hydrochloride,OXYCONTIN,AK,3,410
2015,Oxymorphone Hydrochloride,OPANA ER,AK,3,40
2015,Oxymorphone Hydrochloride,OXYMORPHONE HCL,AK,3,30
2015,Tramadol Hydrochloride,TRAMADOL HCL,AK,3,2068
2015,Tramadol Hydrochloride,ULTRAM,AK,3,10
2015,APAP/Butalbital/Caff/Codeine Phos,BUTALBITAL-APAP-CAFFEINE-CODEINE,AK,4,44
2015,Acetaminophen/Codeine Phosphate,ACETAMINOPHEN-CODEINE PHOSPHATE,AK,4,164
2015,Acetaminophen/Hydrocodone Bitartrate,HYDROCODONE BITARTRATE-ACETAMINOPHEN,AK,4,7936
2015,Acetaminophen/Oxycodone Hydrochloride,ENDOCET,AK,4,30
2015,Acetaminophen/Oxycodone Hydrochloride,OXYCODONE HCL-ACETAMINOPHEN,AK,4,3822
2015,Acetaminophen/Oxycodone Hydrochloride,PERCOCET,AK,4,15
2015,Acetaminophen/Tramadol Hydrochloride,TRAMADOL HCL/ACETAMINOPHEN,AK,4,40
2015,Aspirin/Butalbital/Caffeine/Codeine Phosphate,ASCOMP W/CODEINE,AK,4,10
